date,floor,bedroom,bathroom,square,district,investor,price
28/09/2020,3,2,1,54.0,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,1600.0
28/09/2020,0,2,NULL,73.0,Bắc Từ Liêm,An Bình City,2100.0
01/10/2020,1,2,2,94.0,Nam Từ Liêm,The Zei Mỹ Đình,3243.0
28/09/2020,1,3,4,88.0,Tây Hồ,D’. Le Roi Soleil - Quảng An,5350.0
01/10/2020,1,3,2,87.4,Hai Bà Trưng,Imperia Sky Garden,3758.2000000000003
03/10/2020,3,1,1,53.0,Hai Bà Trưng,Times City,1900.0
02/10/2020,0,2,NULL,67.0,Nam Từ Liêm,Vinhomes Skylake,2600.0
02/10/2020,1,2,1,60.0,Gia Lâm,Vinhomes Ocean Park Gia Lâm,1440.0
02/10/2020,3,NULL,NULL,43.0,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,1290.0
29/09/2020,3,3,2,116.0,Tây Hồ,Udic Westlake,3970.0
02/10/2020,0,2,2,NULL,Long Biên,Eco City Việt Hưng,1900.0
03/10/2020,3,3,2,146.0,Tây Hồ,D’. Le Roi Soleil - Quảng An,6500.0
29/09/2020,3,3,2,97.0,Hoài Đức,Thăng Long Capital,1800.0
29/09/2020,2,2,2,55.0,Thanh Xuân,Chung cư PCC1 Triều Khúc,1900.0
28/09/2020,3,3,2,100.0,Bắc Từ Liêm,Sunshine City,3600.0
03/10/2020,0,NULL,NULL,95.3,Bắc Từ Liêm,Green Stars,2950.0
03/10/2020,3,NULL,NULL,70.0,Nam Từ Liêm,Chung cư CT5-CT6 Lê Đức Thọ,2100.0
03/10/2020,1,3,2,112.0,Bắc Từ Liêm,An Bình City,3600.0
03/10/2020,3,3,2,86.0,Bắc Từ Liêm,An Bình City,3100.0
03/10/2020,3,3,2,90.0,Bắc Từ Liêm,An Bình City,2900.0
03/10/2020,4,NULL,NULL,63.0,Hoàng Mai,HH4 Linh Đàm,1100.0
03/10/2020,3,1,1,54.0,Hà Đông,Khu đô thị mới Xa La,NULL
03/10/2020,0,2,1,58.0,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,1380.0
03/10/2020,3,3,2,94.04,Long Biên,Le Grand Jardin Sài Đồng,2050.0
03/10/2020,2,2,2,72.0,Hoàng Mai,Khu đô thị mới Linh Đàm,1150.0
03/10/2020,4,2,2,61.0,Hà Đông,BID Residence,1400.0
03/10/2020,2,2,2,68.0,Bắc Từ Liêm,Goldmark City,2300.0
03/10/2020,3,3,2,102.0,Bắc Từ Liêm,Green Stars,2850.0
03/10/2020,0,3,2,96.8,Hoài Đức,Thăng Long Capital,1900.0
03/10/2020,1,2,2,83.0,Nam Từ Liêm,The Emerald,2350.0
03/10/2020,3,2,2,78.0,Bắc Từ Liêm,Goldmark City,2300.0
03/10/2020,4,2,2,86.0,Bắc Từ Liêm,Goldmark City,2700.0
03/10/2020,3,NULL,NULL,133.0,Nam Từ Liêm,Iris Garden,NULL
03/10/2020,3,1,1,60.0,Tây Hồ,6th Element,2400.0
03/10/2020,0,4,3,146.0,Ba Đình,Vinhomes Metropolis - Liễu Giai,NULL
02/10/2020,3,NULL,NULL,94.0,Cầu Giấy,Vimeco II - Nguyễn Chánh,NULL
02/10/2020,4,2,NULL,59.0,Thanh Xuân,GoldSeason,1900.0
02/10/2020,0,3,2,78.0,Long Biên,Berriver Long Biên,NULL
02/10/2020,4,NULL,NULL,121.0,Cầu Giấy,Chelsea Residences,4840.0
02/10/2020,3,3,2,88.0,Nam Từ Liêm,Vinhomes Green Bay Mễ Trì,4000.0
03/10/2020,1,2,2,83.0,Tây Hồ,6th Element,3500.0
02/10/2020,1,2,2,68.0,Bắc Từ Liêm,Goldmark City,NULL
02/10/2020,3,NULL,NULL,NULL,Bắc Từ Liêm,An Bình City,NULL
03/10/2020,0,NULL,NULL,92.0,Bắc Từ Liêm,IA20 Ciputra,1630.0
03/10/2020,0,3,2,93.6,Tây Hồ,Sunshine Riverside,3400.0
02/10/2020,3,2,NULL,NULL,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,1900.0
02/10/2020,1,NULL,NULL,60.5,Cầu Giấy,A10-A14 Nam Trung Yên,1512.5
03/10/2020,4,1,2,65.73,Tây Hồ,PentStudio,3200.0
03/10/2020,1,2,NULL,70.0,Hai Bà Trưng,Hòa Bình Green City,2250.0
03/10/2020,2,3,2,132.9,Nam Từ Liêm,Iris Garden,3600.0
03/10/2020,2,NULL,NULL,NULL,Thanh Xuân,Chung cư Ban cơ yếu Chính phủ,NULL
03/10/2020,2,2,1,59.3,Nam Từ Liêm,Khu đô thị Mỹ Đình I,1400.0
03/10/2020,4,2,2,71.22,Thanh Xuân,Khu nhà ở 90 Nguyễn Tuân,2136.6
03/10/2020,0,2,2,68.0,Hoàng Mai,Mandarin Garden 2,2600.0
03/10/2020,2,3,2,108.0,Nam Từ Liêm,The Zei Mỹ Đình,NULL
28/09/2020,2,1,NULL,53.4,Hai Bà Trưng,Times City,2150.0
28/09/2020,0,2,2,75.0,Hà Đông,The Pride,NULL
28/09/2020,3,3,2,100.0,Nam Từ Liêm,Khu đô thị Mỹ Đình I,2200.0
28/09/2020,3,NULL,NULL,88.8,Thanh Xuân,GoldSeason,3330.0
